title,stars,quality,imdb_code,keywords,genres,year,eps,type
Younger - Season 5,Sutton Foster;Miriam Shor;Hilary Duff;Debi Mazar;Nico Tortorella;Peter Hermann;Molly Bernard,HD,,younger - season 5;gostream;watchfree;free movies;watch series;series9,Comedy;Romance,2018,11,series
Suits - Season 8,Rick Hoffman;Sarah Rafferty;Gabriel Macht;Patrick J. Adams;Meghan Markle;Gina Torres;Amanda Schull;Wendell Pierce;Aloma Wright,HD 720,,suits - season 8;gostream;watchfree;free movies;watch series;series9,Comedy;Drama,2018,6,series
Power - Season 5 ,Lela Loren;Omari Hardwick;Naturi Naughton;Joseph Sikora;Shane Johnson;50 Cent;Rotimi,HD 720,,power - season 5 ;gostream;watchfree;free movies;watch series;series9,Crime;Drama,2018,8,series
Sharp Objects - Season 1,Amy Adams;Patricia Clarkson;Chris Messina;Eliza Scanlen;Matt Craven;April Brinson;Henry Czerny,HD 720,,sharp objects - season 1;gostream;watchfree;free movies;watch series;series9,Crime;Drama;Mystery,2018,8,series
Fear the Walking Dead - Season 4,Kim Dickens;Alycia Debnam-Carey;Frank Dillane;Mercedes Mason;Colman Domingo;Ruben Blades;Cliff Curtis;Danay Garcia;Daniel Sharman,HD 720,,fear the walking dead - season 4;gostream;watchfree;free movies;watch series;series9,Drama;Horror;Sci-Fi,2018,11,series
Six - Season 2,Barry Sloane;Kyle Schmid;Juan Pablo Raba;Edwin Hodge;Brianne Davis;Dominic Adams;Jessica Garza;Nadine Velazquez,HD 720,,six - season 2;gostream;watchfree;free movies;watch series;series9,Action;Drama;History,2018,10,series
The Originals - Season 5,Leah Pipes;Phoebe Tonkin;Joseph Morgan;Daniel Gillies;Danielle Campbell;Charles Michael Davis;Yusuf Gatewood;Riley Voelkel;Claire Holt,HD,,the originals - season 5;gostream;watchfree;free movies;watch series;series9,Drama;Fantasy;Horror,2018,13,series
Marvel's Cloak & Dagger - Season 1,Olivia Holt;Aubrey Joseph;Gloria Reuben;Andrea Roth;Miles Mussenden;J.D. Evermore;James Saito,HD 720,,marvel's cloak & dagger - season 1;gostream;watchfree;free movies;watch series;series9,Action;Adventure;Drama,2018,10,series
Love Island - Season 4,,HD 720p,,love island - season 4;gostream;watchfree;free movies;watch series;series9,Drama;Sci-Fi;TV Show,2015,58,series
The 100 - Season 5,Richard Harmon;Devon Bostick;Chelsey Reist;Sachin Sahel;Ricky Whittle;Jarod Joseph;Adina Porter,HD,,the 100 - season 5;gostream;watchfree;free movies;watch series;series9,Drama;Mystery;Sci-Fi,2018,13,series
Reverie - Season 1,Sarah Shahi;Dennis Haysbert;Kathryn Morris;Sendhil Ramamurthy;Jessica Lucas;Jon Fletcher;Gary Kraus;Sasha Compère,HD 720,,reverie - season 1;gostream;watchfree;free movies;watch series;series9,Drama;Thriller,2018,10,series
I Am Frankie - Season 2,Alex Hook;Sophia Forest;Uriel Baldesco;Armani Barrett;Kristi Beckett;Kyson Facer;Mohana Krishnan,HD 720,,i am frankie - season 2;gostream;watchfree;free movies;watch series;series9,Comedy;Drama;Sci-Fi,2018,1,series
Claws - Season 2,Niecy Nash;Carrie Preston;Judy Reyes;Karrueche Tran;Jenn Lyon;Jack Kesy;Dean Norris;Harold Perrineau;Kevin Rankin,HD 720,,claws - season 2;gostream;watchfree;free movies;watch series;series9,Comedy;Crime;Drama,2018,10,series
